,ID hecho,AAA,MM,DD,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,GRAVEDAD
87,LC-2019-0007536,2019,1,4,2019-01-04,,Mujer,28.0,
88,LC-2019-0007634,2019,1,4,2019-01-04,,Varon,,
89,LC-2019-0007660,2019,1,4,2019-01-04,,Varon,23.0,
90,LC-2019-0007701,2019,1,4,2019-01-04,,Varon,34.0,
91,LC-2019-0007778,2019,1,4,2019-01-04,,Mujer,56.0,
92,LC-2019-0008077,2019,1,4,2019-01-04,,Mujer,44.0,
93,LC-2019-0008227,2019,1,4,2019-01-04,,Mujer,26.0,
94,LC-2019-0008238,2019,1,4,2019-01-04,,Mujer,69.0,
95,LC-2019-0008238,2019,1,4,2019-01-04,,Mujer,69.0,
96,LC-2019-0008283,2019,1,4,2019-01-04,,Varon,26.0,
97,LC-2019-0008283,2019,1,4,2019-01-04,,Mujer,26.0,
98,LC-2019-0008314,2019,1,4,2019-01-04,,Mujer,55.0,
99,LC-2019-0008367,2019,1,4,2019-01-04,,Varon,46.0,
100,LC-2019-0008388,2019,1,4,2019-01-04,,Mujer,,
101,LC-2019-0008388,2019,1,4,2019-01-04,,Mujer,,
102,LC-2019-0008388,2019,1,4,2019-01-04,,Mujer,34.0,
103,LC-2019-0008467,2019,1,4,2019-01-04,,Varon,29.0,
104,LC-2019-0008493,2019,1,4,2019-01-04,,Mujer,34.0,
105,LC-2019-0008496,2019,1,4,2019-01-04,,Varon,,
106,LC-2019-0008565,2019,1,4,2019-01-04,,Varon,34.0,
107,LC-2019-0008566,2019,1,4,2019-01-04,,Varon,26.0,
108,LC-2019-0011897,2019,1,4,2019-01-04,,Mujer,38.0,
109,LC-2019-0017883,2019,1,4,2019-01-04,,Varon,53.0,
110,LC-2019-0020135,2019,1,4,2019-01-04,,Varon,23.0,
111,LC-2019-0020930,2019,1,4,2019-01-04,,Varon,28.0,
112,LC-2019-0267364,2019,1,4,2019-01-04,,Varon,41.0,
113,LC-2019-0314341,2019,5,20,2019-05-20,,Varon,56.0,
114,LC-2019-0008603,2019,1,5,2019-01-05,,Varon,43.0,
115,LC-2019-0008860,2019,1,5,2019-01-05,,Varon,67.0,
116,LC-2019-0008860,2019,1,5,2019-01-05,,Varon,67.0,
117,LC-2019-0008860,2019,1,5,2019-01-05,,Varon,40.0,
118,LC-2019-0008916,2019,1,5,2019-01-05,,Varon,33.0,
119,LC-2019-0008924,2019,1,5,2019-01-05,,Varon,,
120,LC-2019-0008974,2019,1,5,2019-01-05,,Mujer,29.0,
121,LC-2019-0009068,2019,1,5,2019-01-05,,Varon,54.0,
122,LC-2019-0009123,2019,1,5,2019-01-05,,Varon,51.0,
123,LC-2019-0009194,2019,1,5,2019-01-05,,Varon,33.0,
124,LC-2019-0009305,2019,1,5,2019-01-05,,Varon,42.0,
125,LC-2019-0009312,2019,1,5,2019-01-05,,Mujer,74.0,
126,LC-2019-0009325,2019,1,5,2019-01-05,,Varon,70.0,
127,LC-2019-0009392,2019,1,5,2019-01-05,,Mujer,40.0,
128,LC-2019-0009580,2019,1,5,2019-01-05,,Mujer,6.0,
129,LC-2019-0009722,2019,1,5,2019-01-05,,Mujer,30.0,
130,LC-2019-0025772,2019,1,13,2019-01-13,,Varon,,
131,LC-2019-0010031,2019,1,5,2019-01-05,,Varon,28.0,
132,LC-2019-0010621,2019,1,5,2019-01-05,,Mujer,12.0,
133,LC-2019-0012840,2019,1,5,2019-01-05,,Mujer,83.0,
134,LC-2019-0052387,2019,1,5,2019-01-05,,Varon,27.0,
135,LC-2019-0010050,2019,1,6,2019-01-06,,Varon,24.0,
136,LC-2019-0010105,2019,1,6,2019-01-06,,Varon,27.0,
137,LC-2019-0010145,2019,1,6,2019-01-06,,Mujer,35.0,
138,LC-2019-0010228,2019,1,6,2019-01-06,,Varon,12.0,
139,LC-2019-0010301,2019,1,6,2019-01-06,,Varon,12.0,
140,LC-2019-0010436,2019,1,6,2019-01-06,,Varon,12.0,
141,LC-2019-0010436,2019,1,6,2019-01-06,,Varon,12.0,
142,LC-2019-0010649,2019,1,6,2019-01-06,,Varon,12.0,
143,LC-2019-0010661,2019,1,6,2019-01-06,,Varon,12.0,
144,LC-2019-0010730,2019,1,6,2019-01-06,,Mujer,12.0,
145,LC-2019-0010814,2019,1,6,2019-01-06,,Varon,12.0,
146,LC-2019-0010884,2019,1,6,2019-01-06,,Varon,12.0,
147,LC-2019-0010884,2019,1,6,2019-01-06,,Mujer,12.0,
148,LC-2019-0010983,2019,1,6,2019-01-06,,Mujer,44.0,
149,LC-2019-0010983,2019,1,6,2019-01-06,,Mujer,44.0,
150,LC-2019-0011004,2019,1,7,2019-01-07,,Varon,70.0,
151,LC-2019-0011053,2019,1,7,2019-01-07,,Varon,29.0,
152,LC-2019-0011092,2019,1,7,2019-01-07,,Varon,64.0,
153,LC-2019-0011335,2019,1,7,2019-01-07,,Varon,27.0,
154,LC-2019-0011431,2019,1,7,2019-01-07,,Varon,68.0,
155,LC-2019-0153972,2019,3,13,2019-03-13,,Varon,49.0,
156,LC-2019-0011575,2019,1,7,2019-01-07,,Varon,21.0,
157,LC-2019-0153972,2019,3,13,2019-03-13,,Varon,,
158,LC-2019-0011908,2019,1,7,2019-01-07,,Varon,15.0,
159,LC-2019-0012172,2019,1,7,2019-01-07,,Varon,22.0,
