,ID_hecho,FECHA,ROL,VICTIMA,SEXO,EDAD,GRAVEDAD
644,2021-0025,2021-03-11,CONDUCTOR,MOTO,MASCULINO,37.0,FATAL
645,2021-0026,2021-03-15,CONDUCTOR,MOTO,MASCULINO,36.0,FATAL
646,2021-0027,2021-03-16,CONDUCTOR,MOTO,FEMENINO,19.0,FATAL
647,2021-0028,2021-03-29,PEATON,PEATON,MASCULINO,,FATAL
648,2021-0029,2021-03-31,CONDUCTOR,AUTO,MASCULINO,26.0,FATAL
649,2021-0030,2021-04-03,PEATON,PEATON,MASCULINO,36.0,FATAL
650,2021-0031,2021-04-07,PEATON,PEATON,FEMENINO,68.0,FATAL
651,2021-0032,2021-04-10,PEATON,PEATON,MASCULINO,60.0,FATAL
652,2021-0033,2021-04-14,CONDUCTOR,AUTO,MASCULINO,33.0,FATAL
653,2021-0034,2021-04-19,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26.0,FATAL
654,2021-0035,2021-05-03,CONDUCTOR,MOTO,MASCULINO,24.0,FATAL
655,2021-0036,2021-05-09,CONDUCTOR,MOTO,MASCULINO,36.0,FATAL
656,2021-0037,2021-05-11,PEATON,PEATON,FEMENINO,58.0,FATAL
657,2021-0038,2021-05-14,CONDUCTOR,MOTO,FEMENINO,44.0,FATAL
658,2021-0039,2021-05-15,CICLISTA,BICICLETA,MASCULINO,86.0,FATAL
659,2021-0040,2021-05-20,CONDUCTOR,MOTO,MASCULINO,27.0,FATAL
660,2021-0041,2021-05-20,PEATON,PEATON,MASCULINO,75.0,FATAL
661,2021-0042,2021-05-21,PEATON,PEATON,MASCULINO,39.0,FATAL
662,2021-0043,2021-05-22,PEATON,PEATON,MASCULINO,50.0,FATAL
663,2021-0044,2021-05-25,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21.0,FATAL
664,2021-0045,2021-05-26,CONDUCTOR,MOTO,MASCULINO,22.0,FATAL
665,2021-0046,2021-05-31,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,20.0,FATAL
666,2021-0047,2021-06-02,CONDUCTOR,MOTO,MASCULINO,59.0,FATAL
667,2021-0048,2021-06-03,CICLISTA,BICICLETA,MASCULINO,44.0,FATAL
668,2021-0049,2021-06-03,CONDUCTOR,AUTO,MASCULINO,74.0,FATAL
669,2021-0050,2021-06-10,CONDUCTOR,MOTO,MASCULINO,56.0,FATAL
670,2021-0051,2021-06-15,PEATON,PEATON,MASCULINO,73.0,FATAL
671,2021-0052,2021-06-20,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19.0,FATAL
672,2021-0053,2021-06-20,PEATON,PEATON,MASCULINO,58.0,FATAL
673,2021-0054,2021-06-22,CONDUCTOR,MOTO,MASCULINO,41.0,FATAL
674,2021-0055,2021-06-29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,47.0,FATAL
675,2021-0056,2021-07-09,CICLISTA,BICICLETA,MASCULINO,60.0,FATAL
