,AÑO,N_VICTIMAS,AMM
0,2016,146,0.0
1,2017,140,4.10958904109589
2,2018,149,-6.428571428571428
3,2019,104,30.201342281879196
4,2020,81,22.115384615384613
5,2021,97,-19.753086419753085
